Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
AMT,"American Tower Corp",255.54,-1.62,-0.63%,257.94,258.345,255,2312300,2022-04-14
ARE,"Alexandria Real Estate Equities",196.18,-2.12,-1.07%,198.88,200.05,195.86,797600,2022-04-14
AVB,"Avalonbay Communities",246.61,-1.01,-0.41%,248.58,249.475,246.166,618900,2022-04-14
BXP,"Boston Properties",124.59,-0.25,-0.20%,125.32,126.39,124.52,323100,2022-04-14
CBRE,"CBRE Group Inc",85.56,-0.84,-0.97%,86.62,87.37,85.45,1265600,2022-04-14
CCI,"Crown Castle International Corp",192.68,-0.78,-0.40%,193.79,194.035,192.3,1099600,2022-04-14
DLR,"Digital Realty Trust",145.02,-2.13,-1.45%,147.25,147.711,144.67,1366200,2022-04-14
DRE,"Duke Realty Corp",58.25,-0.61,-1.04%,59.13,59.25,58.18,1074700,2022-04-14
EQIX,"Equinix Inc",735.24,-16.69,-2.22%,753.02,753.02,734.18,274300,2022-04-14
EQR,"Equity Residential",90.43,0.070000000000007,+0.08%,90.61,91.215,90.055,1650100,2022-04-14
ESS,"Essex Property Trust",345.51,-1.8,-0.52%,348.65,350.26,345.12,178300,2022-04-14
EXR,"Extra Space Storage Inc",212.55,-0.060000000000002,-0.03%,213.53,214.9,211.19,373700,2022-04-14
FRT,"Federal Realty Investment Trust",123.26,1.09,+0.89%,122.58,124.195,122.58,454500,2022-04-14
HST,"Host Marriott Financial Trust",19.58,-0.12,-0.61%,19.79,20.09,19.5,8442000,2022-04-14
IRM,"Iron Mountain Inc",55.42,-0.53,-0.95%,56.11,56.3,55.39,1242300,2022-04-14
KIM,"Kimco Realty Corp",25.13,0.079999999999998,+0.32%,25.15,25.38,25.065,3395500,2022-04-14
MAA,"Mid-America Apartment Communities",205.39,-0.77000000000001,-0.37%,206.84,207.58,205.11,785100,2022-04-14
O,"Realty Income Corp",72.61,0.42,+0.58%,72.49,73.085,72.32,2625200,2022-04-14
PEAK,"Healthpeak Properties Inc",35.03,-0.079999999999998,-0.23%,35.21,35.44,34.94,2045800,2022-04-14
PLD,"Prologis Inc",162.7,-2.3,-1.39%,165.96,166.38,162.51,2434100,2022-04-14
PSA,"Public Storage",408.5,2.85,+0.70%,406.56,410.7,404.065,510800,2022-04-14
REG,"Regency Centers Corp",70.58,0.05,+0.07%,70.43,71.31,70.25,567800,2022-04-14
SBAC,"SBA Communications",355.38,0.77,+0.22%,355.66,357.8,353.14,400000,2022-04-14
SPG,"Simon Property Group",127.88,0.3,+0.24%,128,129.45,127.69,1788800,2022-04-14
UDR,"United Dominion Realty Trust",57.58,-0.12,-0.21%,57.92,58.23,57.53,1085600,2022-04-14
VNO,"Vornado Realty Trust",41.42,-0.69,-1.64%,42.28,42.68,41.34,1929400,2022-04-14
VTR,"Ventas Inc",60.67,-0.54,-0.88%,61.5,62.07,60.56,1420900,2022-04-14
WELL,"Welltower Inc",96.03,-0.87,-0.90%,97.4,98.42,95.86,1697800,2022-04-14
WY,"Weyerhaeuser Company",39.9,-0.16,-0.40%,40.17,40.42,39.58,3334100,2022-04-14
"Downloaded from Barchart.com as of 04-17-2022 04:31am CDT"
